file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.037811812
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.1266333
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.3174074
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.21461225
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.15586075
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.28222728
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.13595313
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.24481884
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.07992429
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.15938267
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.020145705
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.002060345
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.94830805
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.75179636
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.044063922
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.27747628
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.12100908
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.072991595
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.004163278
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.09275673
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.78002214
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.41241515
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9568207
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9770577
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.87225175
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.5185485
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.7903988
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.02455185
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8559695
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.59535825
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.7738702
