file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.24660988
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36311492
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.25122422
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.4666071
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.091119274
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.4054541
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.2402059
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.3209762
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.4755809
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.17031494
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.25751483
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.15155607
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.786115
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.8147736
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.10635607
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.2972005
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.15495577
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.11566635
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.2463235
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.053869955
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8865477
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.50870645
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.83600533
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9496042
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9232544
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.24612144
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.92527837
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.41780457
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.8979617
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.6970238
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.64086604
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.4170584
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.12867776
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.21257398
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.13788696
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.094634
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.31030327
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.24660206
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.35705617
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.39206845
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.17923471
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.09811312
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.1500782
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.075416416
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.41563588
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.87868094
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.1655225
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.08102062
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.3813562
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.6798369
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.7967303
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.92209834
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.24660672
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.226637
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.35722983
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.26726687
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.06075857
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.14650933
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.069138475
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.08418755
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.16400953
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.1470472
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.2666382
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.2032482
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.4589298
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.41329822
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.39564434
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.66501373
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.8842533
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,0.13110167
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.22449015
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.27951854
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.108917385
C018,Escherichia coli K-12 BW25113,BW25113_0081,0,0.46885654
C018,Escherichia coli K-12 BW25113,BW25113_0082,0,0.8188574
C018,Escherichia coli K-12 BW25113,BW25113_0083,1,0.7100045
C018,Escherichia coli K-12 BW25113,BW25113_0084,1,0.8061351
C018,Escherichia coli K-12 BW25113,BW25113_0085,1,0.86419404
C018,Escherichia coli K-12 BW25113,BW25113_0086,1,0.9018583
C018,Escherichia coli K-12 BW25113,BW25113_0087,1,0.9425446
C018,Escherichia coli K-12 BW25113,BW25113_0088,1,0.93074465
C018,Escherichia coli K-12 BW25113,BW25113_0089,1,0.93628716
C018,Escherichia coli K-12 BW25113,BW25113_0090,1,0.9432304
C018,Escherichia coli K-12 BW25113,BW25113_0091,1,0.93420583
C018,Escherichia coli K-12 BW25113,BW25113_0092,0,0.78774965
C018,Escherichia coli K-12 BW25113,BW25113_0093,1,0.8821588
C018,Escherichia coli K-12 BW25113,BW25113_0094,1,0.9661315
C018,Escherichia coli K-12 BW25113,BW25113_0095,1,0.9130264
C018,Escherichia coli K-12 BW25113,BW25113_0096,1,0.68829966
C018,Escherichia coli K-12 BW25113,BW25113_0097,1,0.16369341
C018,Escherichia coli K-12 BW25113,BW25113_0098,1,0.89797795
C018,Escherichia coli K-12 BW25113,BW25113_0099,0,0.5572432
C018,Escherichia coli K-12 BW25113,BW25113_0101,0,0.18878753
C018,Escherichia coli K-12 BW25113,BW25113_0102,0,0.14165065
C018,Escherichia coli K-12 BW25113,BW25113_0103,0,0.9366027
C018,Escherichia coli K-12 BW25113,BW25113_0104,0,0.39884856
C018,Escherichia coli K-12 BW25113,BW25113_0106,0,0.24660929
C018,Escherichia coli K-12 BW25113,BW25113_0107,0,0.21738037
C018,Escherichia coli K-12 BW25113,BW25113_0108,0,0.07940389
C018,Escherichia coli K-12 BW25113,BW25113_0109,0,0.6533425
C018,Escherichia coli K-12 BW25113,BW25113_0110,0,0.080728
C018,Escherichia coli K-12 BW25113,BW25113_0111,0,0.078699164
C018,Escherichia coli K-12 BW25113,BW25113_0112,0,0.24648859
C018,Escherichia coli K-12 BW25113,BW25113_0113,0,0.14651963
C018,Escherichia coli K-12 BW25113,BW25113_0114,0,0.5770609
C018,Escherichia coli K-12 BW25113,BW25113_0115,0,0.75827235
C018,Escherichia coli K-12 BW25113,BW25113_0116,0,0.82593673
