file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.29872298
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.004269485
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.12103733
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.006023254
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.00020068149
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.003927934
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.017617447
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.006065232
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.0026713235
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.1946449
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.00027337272
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.28729537
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.9082492
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.14595012
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.458592
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.086062975
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.039485008
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.0070488714
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.0068804496
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.00013556499
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.24853486
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.28879166
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9842253
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.97683597
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9752068
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.3450469
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.956672
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.40981716
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9741314
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.017350411
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.2583048
